id,date_published,title,text,subject,source,label
1,2024-09-27,Major hedge funds Planning to seize private assets in 2030,"A widely shared financial conspiracy post claims that major hedge funds have a secret plan to seize private assets in 2030. No central bank, financial regulator, or credible financial news outlet has reported any such plan. The claim lacks any documentation.",Economy,FinancialConspiracy.com,FAKE
2,2024-11-07,Doctors Are Hiding a $2 tropical fruit That cures all cancers instantly,A sponsored article claims that doctors are suppressing knowledge of a rare rare Amazonian berry that reverses aging by 20 years. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
3,2023-06-10,Drinking hydrogen peroxide in Small Doses cures all viruses,A dangerous health hoax claims that consuming hydrogen peroxide boosts immune system. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
4,2023-02-03,Doctors Are Hiding a forgotten Mediterranean plant That eliminates diabetes overnight,A sponsored article claims that doctors are suppressing knowledge of a rare forgotten Mediterranean plant that reverses aging by 20 years. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
5,2024-12-04,Mark Zuckerberg Caught Admitting mind control through social media at Secret Meeting,A video circulating on social media purports to show Jeff Bezos admitting microchips in vaccines. The video is heavily edited and contains fabricated subtitles. Fact-checkers at Snopes and PolitiFact have debunked the claim multiple times.,Politics,ConspiracyDaily.com,FAKE
6,2024-07-11,Mark Zuckerberg Caught Admitting population control chemicals in water at Secret Meeting,A video circulating on social media purports to show Jeff Bezos admitting microchips in vaccines. The video is heavily edited and contains fabricated subtitles. Fact-checkers at Snopes and PolitiFact have debunked the claim multiple times.,Politics,ConspiracyDaily.com,FAKE
7,2023-03-03,George Soros Caught Admitting mind control through social media at Secret Meeting,A video circulating on social media purports to show George Soros admitting microchips in vaccines. The video is heavily edited and contains fabricated subtitles. Fact-checkers at Snopes and PolitiFact have debunked the claim multiple times.,Politics,ConspiracyDaily.com,FAKE
8,2024-04-24,New Research Shows consuming raw garlic opens the third eye,A blog post falsely claims that new research reveals drinking alkaline water increases IQ by 40 points. Modern science refutes this completely. The post cites no real study and attributes quotes to nonexistent scientists at fabricated institutions.,Health,AlternativeHealthNews.com,FAKE
9,2024-03-24,smart meter Devices Confirmed to Contain backdoor transmitters for Surveillance,A viral article claims that smart meter devices secretly contain backdoor transmitters to monitor all users. Security researchers and independent auditors have found no evidence of such hardware. The claim originated from an anonymous forum post.,Technology,TechTruthNow.com,FAKE
10,2024-09-10,Drinking turpentine in Small Doses boosts immune system,A dangerous health hoax claims that consuming pool cleaner detoxifies the body completely. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
11,2024-08-24,Leaked Documents Prove climate change Is a Hoax Invented by the UN,A website claims to have obtained leaked internal documents proving that the moon landing has been fabricated to enable a global takeover. The documents cited do not exist. Decades of peer-reviewed research confirm that the shape of the Earth is real.,Politics,HoaxExposed.net,FAKE
12,2024-06-15,Doctors Are Hiding a ancient Chinese herb That regrows teeth in 7 days,A sponsored article claims that doctors are suppressing knowledge of a rare rare Amazonian berry that eliminates diabetes overnight. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
13,2024-03-22,Government Admits cell tower Towers Are Causing mind control in Cities,"According to an anonymous source, government officials have secretly admitted that WiFi towers emit frequencies that cause DNA mutation. No government agency has made any such statement. Scientists say the claim has no scientific basis.",Technology,TruthAboutTech.net,FAKE
14,2024-02-23,Government Admits cell tower Towers Are Causing mass amnesia in Cities,"According to an anonymous source, government officials have secretly admitted that cell tower towers emit frequencies that cause mind control. No government agency has made any such statement. Scientists say the claim has no scientific basis.",Technology,TruthAboutTech.net,FAKE
15,2024-02-26,Secret Society Controls investment firms Through AI systems,A conspiracy website alleges that a secretive global organization has installed mind control frequencies in all investment firms to predetermine outcomes. Independent auditors have consistently found no evidence of such manipulation.,Politics,DeepStateWatch.org,FAKE
16,2024-04-10,cell tower Devices Confirmed to Contain mind-reading sensors for Surveillance,A viral article claims that cell tower devices secretly contain CIA microchips to monitor all users. Security researchers and independent auditors have found no evidence of such hardware. The claim originated from an anonymous forum post.,Technology,TechTruthNow.com,FAKE
17,2024-02-18,Drinking industrial solvent in Small Doses detoxifies the body completely,A dangerous health hoax claims that consuming industrial solvent boosts immune system. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
18,2024-02-28,Chemtrails from Planes Confirmed to Contain turpentine,A viral article claims that atmospheric scientists have confirmed that airplane contrails contain bleach used to suppress immune function. Contrails are composed of water vapor and particulates from jet exhaust. Scientists have confirmed there is no such agent in contrails.,Science,ChemtrailTruth.net,FAKE
19,2023-02-22,Doctors Are Hiding a rare Amazonian berry That reverses aging by 20 years,A sponsored article claims that doctors are suppressing knowledge of a rare forgotten Mediterranean plant that eliminates diabetes overnight. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
20,2024-12-16,Mark Zuckerberg Caught Admitting population control chemicals in water at Secret Meeting,A video circulating on social media purports to show Mark Zuckerberg admitting secret depopulation agenda. The video is heavily edited and contains fabricated subtitles. Fact-checkers at Snopes and PolitiFact have debunked the claim multiple times.,Politics,ConspiracyDaily.com,FAKE
21,2024-12-27,Scientists Discover That drinking coffee cures all known cancers,"A viral social media post claims that a new study proves sunlight exposure reverses aging completely. No credible medical journal has published any such study, and experts have dismissed the claim as dangerous misinformation.",Science,NaturalTruth.net,FAKE
22,2023-08-19,New Research Shows consuming raw garlic increases IQ by 40 points,A blog post falsely claims that new research reveals drinking alkaline water increases IQ by 40 points. Modern science refutes this completely. The post cites no real study and attributes quotes to nonexistent scientists at fabricated institutions.,Health,AlternativeHealthNews.com,FAKE
23,2024-10-25,Chemtrails from Planes Confirmed to Contain bleach,A viral article claims that atmospheric scientists have confirmed that airplane contrails contain pool cleaner used to suppress critical thinking. Contrails are composed of water vapor and particulates from jet exhaust. Scientists have confirmed there is no such agent in contrails.,Science,ChemtrailTruth.net,FAKE
24,2024-06-05,Chemtrails from Planes Confirmed to Contain hydrogen peroxide,A viral article claims that atmospheric scientists have confirmed that airplane contrails contain pool cleaner used to suppress free will. Contrails are composed of water vapor and particulates from jet exhaust. Scientists have confirmed there is no such agent in contrails.,Science,ChemtrailTruth.net,FAKE
25,2023-09-07,smart meter Devices Confirmed to Contain backdoor transmitters for Surveillance,A viral article claims that cell tower devices secretly contain backdoor transmitters to monitor all users. Security researchers and independent auditors have found no evidence of such hardware. The claim originated from an anonymous forum post.,Technology,TechTruthNow.com,FAKE
26,2024-09-05,Scientists Discover That sunlight exposure reverses aging completely,"A viral social media post claims that a new study proves daily walking reverses aging completely. No credible medical journal has published any such study, and experts have dismissed the claim as dangerous misinformation.",Science,NaturalTruth.net,FAKE
27,2024-06-03,CIA Whistleblower Reveals the Moon landing Was Filmed in a studio in Arizona,A self-described whistleblower claims that the first spacewalk was staged in a studio in Arizona. The individual provides no verifiable credentials or documentation. Thousands of scientists and international agencies have confirmed its authenticity.,Science,TruthMovement.org,FAKE
28,2024-08-16,Leaked Documents Prove climate change Is a Hoax Invented by a secret society,A website claims to have obtained leaked internal documents proving that the COVID pandemic has been fabricated to enable a global takeover. The documents cited do not exist. Decades of peer-reviewed research confirm that the shape of the Earth is real.,Politics,HoaxExposed.net,FAKE
29,2024-05-10,Government Admits cell tower Towers Are Causing infertility in Cities,"According to an anonymous source, government officials have secretly admitted that cell tower towers emit frequencies that cause DNA mutation. No government agency has made any such statement. Scientists say the claim has no scientific basis.",Technology,TruthAboutTech.net,FAKE
30,2023-07-13,Secret Society Controls investment firms Through subliminal algorithms,A conspiracy website alleges that a secretive global organization has installed subliminal algorithms in all investment firms to predetermine outcomes. Independent auditors have consistently found no evidence of such manipulation.,Politics,DeepStateWatch.org,FAKE
31,2023-02-14,WiFi Devices Confirmed to Contain backdoor transmitters for Surveillance,A viral article claims that WiFi devices secretly contain backdoor transmitters to monitor all users. Security researchers and independent auditors have found no evidence of such hardware. The claim originated from an anonymous forum post.,Technology,TechTruthNow.com,FAKE
32,2024-05-22,Secret Society Controls hedge funds Through subliminal algorithms,A conspiracy website alleges that a secretive global organization has installed subliminal algorithms in all central banks to predetermine outcomes. Independent auditors have consistently found no evidence of such manipulation.,Politics,DeepStateWatch.org,FAKE
33,2023-04-13,Doctors Are Hiding a rare Amazonian berry That reverses aging by 20 years,A sponsored article claims that doctors are suppressing knowledge of a rare $2 tropical fruit that eliminates diabetes overnight. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
34,2023-03-18,CDC Whistleblower Reveals the Moon landing Was Filmed in a military bunker in Nevada,A self-described whistleblower claims that the first spacewalk was staged in a military bunker in Nevada. The individual provides no verifiable credentials or documentation. Thousands of scientists and international agencies have confirmed its authenticity.,Science,TruthMovement.org,FAKE
35,2024-10-27,Scientists Discover That sleeping 8 hours eliminates all viruses,"A viral social media post claims that a new study proves sunlight exposure extends lifespan by 50 years. No credible medical journal has published any such study, and experts have dismissed the claim as dangerous misinformation.",Science,NaturalTruth.net,FAKE
36,2024-07-08,Drinking industrial solvent in Small Doses eliminates all pathogens,A dangerous health hoax claims that consuming industrial solvent eliminates all pathogens. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
37,2023-04-03,Doctors Are Hiding a $2 tropical fruit That cures all cancers instantly,A sponsored article claims that doctors are suppressing knowledge of a rare ancient Chinese herb that cures all cancers instantly. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
38,2023-02-17,The US Government Secretly Planning to delete all savings accounts in 2025,A widely shared conspiracy post claims that The UN has a secret plan to microchip all citizens by 2027. No regulator or credible news outlet has reported any such plan. The claim lacks any documentation or credible sourcing.,Politics,FinancialAwakening.com,FAKE
39,2024-03-17,Secret Society Controls global banks Through embedded microchips,A conspiracy website alleges that a secretive global organization has installed embedded microchips in all investment firms to predetermine outcomes. Independent auditors have consistently found no evidence of such manipulation.,Politics,DeepStateWatch.org,FAKE
40,2023-06-29,New Research Shows eating ice cream for breakfast reverses cellular aging,A blog post falsely claims that new research reveals eating ice cream for breakfast activates dormant DNA. Modern science refutes this completely. The post cites no real study and attributes quotes to nonexistent scientists at fabricated institutions.,Health,AlternativeHealthNews.com,FAKE
41,2024-05-24,Drinking turpentine in Small Doses eliminates all pathogens,A dangerous health hoax claims that consuming turpentine cures all viruses. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
42,2024-11-13,Major central banks Planning to ban cash globally in 2025,"A widely shared financial conspiracy post claims that major investment firms have a secret plan to freeze all bank accounts in 2028. No central bank, financial regulator, or credible financial news outlet has reported any such plan. The claim lacks any documentation.",Economy,FinancialConspiracy.com,FAKE
43,2024-03-28,Doctors Are Hiding a forgotten Mediterranean plant That reverses aging by 20 years,A sponsored article claims that doctors are suppressing knowledge of a rare rare Amazonian berry that regrows teeth in 7 days. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
44,2023-11-06,Secret Society Controls investment firms Through subliminal algorithms,A conspiracy website alleges that a secretive global organization has installed embedded microchips in all hedge funds to predetermine outcomes. Independent auditors have consistently found no evidence of such manipulation.,Politics,DeepStateWatch.org,FAKE
45,2024-01-26,Jeff Bezos Caught Admitting secret depopulation agenda at Secret Meeting,A video circulating on social media purports to show Bill Gates admitting population control chemicals in water. The video is heavily edited and contains fabricated subtitles. Fact-checkers at Snopes and PolitiFact have debunked the claim multiple times.,Politics,ConspiracyDaily.com,FAKE
46,2024-12-17,New Satellite Data Confirms geocentric universe Theory,A fake science blog claims that recently declassified satellite data confirms geocentric universe and that space agencies have been lying for decades. Every credible scientific institution and centuries of observation contradict this. The post contains fabricated data.,Science,FringeScience.net,FAKE
47,2024-08-02,Leaked Documents Prove climate change Is a Hoax Invented by Big Pharma,A website claims to have obtained leaked internal documents proving that the COVID pandemic has been fabricated to enable a global takeover. The documents cited do not exist. Decades of peer-reviewed research confirm that climate change is real.,Politics,HoaxExposed.net,FAKE
48,2023-10-21,Chemtrails from Planes Confirmed to Contain bleach,A viral article claims that atmospheric scientists have confirmed that airplane contrails contain turpentine used to suppress immune function. Contrails are composed of water vapor and particulates from jet exhaust. Scientists have confirmed there is no such agent in contrails.,Science,ChemtrailTruth.net,FAKE
49,2024-10-04,global warming Proven to Be Caused by natural Earth cycles Not human carbon output,A fringe article claims that global warming is actually caused by natural Earth cycles rather than human carbon output. Climate scientists and environmental researchers have overwhelmingly confirmed that greenhouse gas emissions is the primary driver. The article provides no peer-reviewed evidence.,Environment,ClimateHoax.net,FAKE
50,2024-08-16,Government Admits 5G Towers Are Causing mind control in Cities,"According to an anonymous source, government officials have secretly admitted that cell tower towers emit frequencies that cause mass amnesia. No government agency has made any such statement. Scientists say the claim has no scientific basis.",Technology,TruthAboutTech.net,FAKE
51,2024-03-01,Secret Society Controls central banks Through AI systems,A conspiracy website alleges that a secretive global organization has installed embedded microchips in all investment firms to predetermine outcomes. Independent auditors have consistently found no evidence of such manipulation.,Politics,DeepStateWatch.org,FAKE
52,2023-06-18,New Research Shows eating ice cream for breakfast activates dormant DNA,A blog post falsely claims that new research reveals consuming raw garlic opens the third eye. Modern science refutes this completely. The post cites no real study and attributes quotes to nonexistent scientists at fabricated institutions.,Health,AlternativeHealthNews.com,FAKE
53,2024-04-24,Leaked Documents Prove evolution Is a Hoax Invented by a secret society,A website claims to have obtained leaked internal documents proving that the COVID pandemic has been fabricated to enable a global takeover. The documents cited do not exist. Decades of peer-reviewed research confirm that climate change is real.,Politics,HoaxExposed.net,FAKE
54,2023-04-03,Drinking hydrogen peroxide in Small Doses cures all viruses,A dangerous health hoax claims that consuming pool cleaner detoxifies the body completely. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
55,2024-08-21,glacier retreat Proven to Be Caused by underwater volcanic activity Not fossil fuel consumption,A fringe article claims that rising sea levels is actually caused by magnetic pole shifts rather than fossil fuel consumption. Climate scientists and environmental researchers have overwhelmingly confirmed that fossil fuel consumption is the primary driver. The article provides no peer-reviewed evidence.,Environment,ClimateHoax.net,FAKE
56,2024-07-28,China Secretly Planning to delete all savings accounts in 2026,A widely shared conspiracy post claims that The EU has a secret plan to delete all savings accounts by 2030. No regulator or credible news outlet has reported any such plan. The claim lacks any documentation or credible sourcing.,Politics,FinancialAwakening.com,FAKE
57,2024-10-26,Secret Society Controls central banks Through AI systems,A conspiracy website alleges that a secretive global organization has installed subliminal algorithms in all investment firms to predetermine outcomes. Independent auditors have consistently found no evidence of such manipulation.,Politics,DeepStateWatch.org,FAKE
58,2023-04-29,The US Government Secretly Planning to ban private property in 2027,A widely shared conspiracy post claims that The US Government has a secret plan to microchip all citizens by 2025. No regulator or credible news outlet has reported any such plan. The claim lacks any documentation or credible sourcing.,Politics,FinancialAwakening.com,FAKE
59,2024-01-15,Drinking hydrogen peroxide in Small Doses cures all viruses,A dangerous health hoax claims that consuming pool cleaner eliminates all pathogens. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
60,2024-11-01,Government Admits cell tower Towers Are Causing DNA mutation in Cities,"According to an anonymous source, government officials have secretly admitted that WiFi towers emit frequencies that cause cancer clusters. No government agency has made any such statement. Scientists say the claim has no scientific basis.",Technology,TruthAboutTech.net,FAKE
61,2024-12-07,Drinking pool cleaner in Small Doses eliminates all pathogens,A dangerous health hoax claims that consuming industrial solvent boosts immune system. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
62,2024-01-07,Secret Society Controls central banks Through subliminal algorithms,A conspiracy website alleges that a secretive global organization has installed subliminal algorithms in all central banks to predetermine outcomes. Independent auditors have consistently found no evidence of such manipulation.,Politics,DeepStateWatch.org,FAKE
63,2023-10-10,Drinking industrial solvent in Small Doses detoxifies the body completely,A dangerous health hoax claims that consuming bleach eliminates all pathogens. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
64,2024-10-19,Bill Gates Caught Admitting secret depopulation agenda at Secret Meeting,A video circulating on social media purports to show Bill Gates admitting population control chemicals in water. The video is heavily edited and contains fabricated subtitles. Fact-checkers at Snopes and PolitiFact have debunked the claim multiple times.,Politics,ConspiracyDaily.com,FAKE
65,2023-05-09,Government Admits 5G Towers Are Causing mass amnesia in Cities,"According to an anonymous source, government officials have secretly admitted that smart meter towers emit frequencies that cause infertility. No government agency has made any such statement. Scientists say the claim has no scientific basis.",Technology,TruthAboutTech.net,FAKE
66,2024-09-02,global warming Proven to Be Caused by underwater volcanic activity Not human carbon output,A fringe article claims that global warming is actually caused by solar cycles alone rather than fossil fuel consumption. Climate scientists and environmental researchers have overwhelmingly confirmed that human carbon output is the primary driver. The article provides no peer-reviewed evidence.,Environment,ClimateHoax.net,FAKE
67,2023-06-28,Doctors Are Hiding a ancient Chinese herb That cures all cancers instantly,A sponsored article claims that doctors are suppressing knowledge of a rare rare Amazonian berry that reverses aging by 20 years. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
68,2023-09-01,Drinking bleach in Small Doses cures all viruses,A dangerous health hoax claims that consuming bleach detoxifies the body completely. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
69,2023-06-28,New Satellite Data Confirms geocentric universe Theory,A fake science blog claims that recently declassified satellite data confirms the flat earth and that space agencies have been lying for decades. Every credible scientific institution and centuries of observation contradict this. The post contains fabricated data.,Science,FringeScience.net,FAKE
70,2023-04-27,Leaked Documents Prove climate change Is a Hoax Invented by the WEF,A website claims to have obtained leaked internal documents proving that evolution has been fabricated to enable a global takeover. The documents cited do not exist. Decades of peer-reviewed research confirm that the shape of the Earth is real.,Politics,HoaxExposed.net,FAKE
71,2024-06-09,5G Devices Confirmed to Contain backdoor transmitters for Surveillance,A viral article claims that cell tower devices secretly contain mind-reading sensors to monitor all users. Security researchers and independent auditors have found no evidence of such hardware. The claim originated from an anonymous forum post.,Technology,TechTruthNow.com,FAKE
72,2024-05-30,New Satellite Data Confirms the flat earth Theory,A fake science blog claims that recently declassified satellite data confirms young earth creation and that space agencies have been lying for decades. Every credible scientific institution and centuries of observation contradict this. The post contains fabricated data.,Science,FringeScience.net,FAKE
73,2024-04-14,Anthony Fauci Caught Admitting microchips in vaccines at Secret Meeting,A video circulating on social media purports to show Anthony Fauci admitting mind control through social media. The video is heavily edited and contains fabricated subtitles. Fact-checkers at Snopes and PolitiFact have debunked the claim multiple times.,Politics,ConspiracyDaily.com,FAKE
74,2024-03-12,Government Admits 5G Towers Are Causing mass amnesia in Cities,"According to an anonymous source, government officials have secretly admitted that cell tower towers emit frequencies that cause cancer clusters. No government agency has made any such statement. Scientists say the claim has no scientific basis.",Technology,TruthAboutTech.net,FAKE
75,2023-03-24,Government Admits 5G Towers Are Causing cancer clusters in Cities,"According to an anonymous source, government officials have secretly admitted that cell tower towers emit frequencies that cause mass amnesia. No government agency has made any such statement. Scientists say the claim has no scientific basis.",Technology,TruthAboutTech.net,FAKE
76,2024-10-01,Secret Society Controls central banks Through AI systems,A conspiracy website alleges that a secretive global organization has installed mind control frequencies in all investment firms to predetermine outcomes. Independent auditors have consistently found no evidence of such manipulation.,Politics,DeepStateWatch.org,FAKE
77,2024-06-01,Government Admits smart meter Towers Are Causing cancer clusters in Cities,"According to an anonymous source, government officials have secretly admitted that smart meter towers emit frequencies that cause cancer clusters. No government agency has made any such statement. Scientists say the claim has no scientific basis.",Technology,TruthAboutTech.net,FAKE
78,2024-12-19,New Satellite Data Confirms young earth creation Theory,A fake science blog claims that recently declassified satellite data confirms the flat earth and that space agencies have been lying for decades. Every credible scientific institution and centuries of observation contradict this. The post contains fabricated data.,Science,FringeScience.net,FAKE
79,2023-08-22,Drinking turpentine in Small Doses cures all viruses,A dangerous health hoax claims that consuming pool cleaner eliminates all pathogens. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
80,2024-03-13,China Secretly Planning to eliminate cash currency in 2025,A widely shared conspiracy post claims that The EU has a secret plan to delete all savings accounts by 2028. No regulator or credible news outlet has reported any such plan. The claim lacks any documentation or credible sourcing.,Politics,FinancialAwakening.com,FAKE
81,2023-03-10,Secret Society Controls investment firms Through embedded microchips,A conspiracy website alleges that a secretive global organization has installed mind control frequencies in all hedge funds to predetermine outcomes. Independent auditors have consistently found no evidence of such manipulation.,Politics,DeepStateWatch.org,FAKE
82,2024-01-17,Drinking bleach in Small Doses boosts immune system,A dangerous health hoax claims that consuming pool cleaner boosts immune system. Health authorities including the CDC and WHO have issued urgent warnings that this can cause serious injury or death. The claim originates from fringe miracle cure communities.,Health,MiracleCureForum.com,FAKE
83,2023-02-22,global warming Proven to Be Caused by underwater volcanic activity Not fossil fuel consumption,A fringe article claims that rising sea levels is actually caused by magnetic pole shifts rather than fossil fuel consumption. Climate scientists and environmental researchers have overwhelmingly confirmed that deforestation is the primary driver. The article provides no peer-reviewed evidence.,Environment,ClimateHoax.net,FAKE
84,2024-08-14,Leaked Documents Prove the shape of the Earth Is a Hoax Invented by a secret society,A website claims to have obtained leaked internal documents proving that the COVID pandemic has been fabricated to enable a global takeover. The documents cited do not exist. Decades of peer-reviewed research confirm that climate change is real.,Politics,HoaxExposed.net,FAKE
85,2023-12-25,CIA Whistleblower Reveals the Mars rover mission Was Filmed in a secret facility in Utah,A self-described whistleblower claims that the Mars rover mission was staged in a Hollywood basement. The individual provides no verifiable credentials or documentation. Thousands of scientists and international agencies have confirmed its authenticity.,Science,TruthMovement.org,FAKE
86,2023-10-13,Chemtrails from Planes Confirmed to Contain turpentine,A viral article claims that atmospheric scientists have confirmed that airplane contrails contain industrial solvent used to suppress critical thinking. Contrails are composed of water vapor and particulates from jet exhaust. Scientists have confirmed there is no such agent in contrails.,Science,ChemtrailTruth.net,FAKE
87,2024-07-28,New Satellite Data Confirms hollow earth Theory,A fake science blog claims that recently declassified satellite data confirms young earth creation and that space agencies have been lying for decades. Every credible scientific institution and centuries of observation contradict this. The post contains fabricated data.,Science,FringeScience.net,FAKE
88,2023-12-26,rising sea levels Proven to Be Caused by natural Earth cycles Not greenhouse gas emissions,A fringe article claims that global warming is actually caused by natural Earth cycles rather than fossil fuel consumption. Climate scientists and environmental researchers have overwhelmingly confirmed that fossil fuel consumption is the primary driver. The article provides no peer-reviewed evidence.,Environment,ClimateHoax.net,FAKE
89,2023-05-26,Doctors Are Hiding a rare Amazonian berry That cures all cancers instantly,A sponsored article claims that doctors are suppressing knowledge of a rare forgotten Mediterranean plant that regrows teeth in 7 days. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
90,2024-03-05,5G Devices Confirmed to Contain CIA microchips for Surveillance,A viral article claims that WiFi devices secretly contain backdoor transmitters to monitor all users. Security researchers and independent auditors have found no evidence of such hardware. The claim originated from an anonymous forum post.,Technology,TechTruthNow.com,FAKE
91,2023-11-29,Scientists Discover That sleeping 8 hours reverses aging completely,"A viral social media post claims that a new study proves sleeping 8 hours eliminates all viruses. No credible medical journal has published any such study, and experts have dismissed the claim as dangerous misinformation.",Science,NaturalTruth.net,FAKE
92,2024-03-29,rising sea levels Proven to Be Caused by underwater volcanic activity Not human carbon output,A fringe article claims that global warming is actually caused by underwater volcanic activity rather than greenhouse gas emissions. Climate scientists and environmental researchers have overwhelmingly confirmed that fossil fuel consumption is the primary driver. The article provides no peer-reviewed evidence.,Environment,ClimateHoax.net,FAKE
93,2023-10-07,Government Admits cell tower Towers Are Causing cancer clusters in Cities,"According to an anonymous source, government officials have secretly admitted that cell tower towers emit frequencies that cause cancer clusters. No government agency has made any such statement. Scientists say the claim has no scientific basis.",Technology,TruthAboutTech.net,FAKE
94,2023-04-24,Anthony Fauci Caught Admitting microchips in vaccines at Secret Meeting,A video circulating on social media purports to show Mark Zuckerberg admitting secret depopulation agenda. The video is heavily edited and contains fabricated subtitles. Fact-checkers at Snopes and PolitiFact have debunked the claim multiple times.,Politics,ConspiracyDaily.com,FAKE
95,2023-02-16,Leaked Documents Prove the shape of the Earth Is a Hoax Invented by Big Pharma,A website claims to have obtained leaked internal documents proving that the shape of the Earth has been fabricated to enable a global takeover. The documents cited do not exist. Decades of peer-reviewed research confirm that the COVID pandemic is real.,Politics,HoaxExposed.net,FAKE
96,2023-11-05,Jeff Bezos Caught Admitting microchips in vaccines at Secret Meeting,A video circulating on social media purports to show Bill Gates admitting population control chemicals in water. The video is heavily edited and contains fabricated subtitles. Fact-checkers at Snopes and PolitiFact have debunked the claim multiple times.,Politics,ConspiracyDaily.com,FAKE
97,2023-05-03,George Soros Caught Admitting mind control through social media at Secret Meeting,A video circulating on social media purports to show Mark Zuckerberg admitting mind control through social media. The video is heavily edited and contains fabricated subtitles. Fact-checkers at Snopes and PolitiFact have debunked the claim multiple times.,Politics,ConspiracyDaily.com,FAKE
98,2024-01-25,Doctors Are Hiding a forgotten Mediterranean plant That eliminates diabetes overnight,A sponsored article claims that doctors are suppressing knowledge of a rare rare Amazonian berry that cures all cancers instantly. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
99,2024-03-22,CIA Whistleblower Reveals the ISS construction Was Filmed in a Hollywood basement,A self-described whistleblower claims that the first spacewalk was staged in a Hollywood basement. The individual provides no verifiable credentials or documentation. Thousands of scientists and international agencies have confirmed its authenticity.,Science,TruthMovement.org,FAKE
100,2024-08-10,Doctors Are Hiding a forgotten Mediterranean plant That regrows teeth in 7 days,A sponsored article claims that doctors are suppressing knowledge of a rare ancient Chinese herb that eliminates diabetes overnight. Medical science confirms this is impossible. The article promotes a supplement product and contains fabricated testimonials and fake doctor quotes.,Health,HealthSecretRevealed.com,FAKE
